Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,180,3,1.8075811306826823,0.8075811306826823,1.2905349283887841,0.42274278632292556,2.1702874253516184,3.543980326352323,5.543364549510951,-0.23280715472747293,-0.04912614636449871,33,23,22,0.18333333333333332,0.25888218015563025,0.23280715472747293,0.003640767275058537,0.17916622436457835,-0.09757104299695007,0.6,1.0033732943130216,1.5050599414695323,-0.03361163804828909,-0.05676266310126495,-0.07381999033749113,-0.08863319715045025,-0.05676266310126496
MVO,MVO,180,3,1.4432657249775274,0.44326572497752736,0.6714170082862168,0.3231796788461943,1.7494291097377581,2.8649750264514386,3.617713808093043,-0.18559152102751098,-0.04100060108241345,46,23,18,0.25555555555555554,0.19734201262812134,0.18559152102751098,0.0022435711819413975,0.12465501023284561,-0.0692278289811042,0.6,0.9273051082967253,1.390957662445088,-0.029152835690695947,-0.0427151786704064,-0.048162453134630655,-0.06522411729464764,-0.0427151786704064
EW,EW,180,3,1.3489657761194007,0.3489657761194007,0.5205520959424168,0.3014742735480368,1.5389401717093645,2.4167169010319527,2.66448931154499,-0.195366554366314,-0.03612877283238275,46,23,17,0.25555555555555554,0.19197567994077494,0.195366554366314,0.0018410748821427445,0.13758024423207146,-0.07344408765037777,0.6222222222222222,0.8275163641713666,1.3629681292234275,-0.024968228535832266,-0.042713338631591574,-0.05618152715762323,-0.07077654515872872,-0.042713338631591574
BLM_LLM__gpt_oss_120b,LLM-BLM (GPT-OSS-120B),180,3,1.2311439897415652,0.23114398974156525,0.33792691030381516,0.3242965460874908,1.057811364873911,1.6342804700729918,1.668637075030846,-0.20251672179678037,-0.04114357035987306,46,23,15,0.25555555555555554,0.20990556903943325,0.20251672179678037,0.0013612879842885071,0.12814013810020963,-0.08164360005910552,0.55,1.0024397627513744,1.225204154473902,-0.028718900126090185,-0.04543263075189571,-0.053904466596983745,-0.07597233043295173,-0.045432630751895714
RelViewBL__gpt_oss_120b,PairBL (GPT-OSS-120B),180,3,1.7833251234305163,0.7833251234305163,1.247619229890741,0.39090661263417753,2.267009173344314,3.6693708684219635,5.8633022558111305,-0.21278439614028477,-0.044962391185080205,33,23,21,0.18333333333333332,0.24150975972176503,0.21278439614028477,0.003516622526835844,0.15359393796394227,-0.08313869399395697,0.5833333333333334,1.0811834139739864,1.513656779563581,-0.033179291695511176,-0.0523686004075706,-0.06293222911798659,-0.07934614085440465,-0.052368600407570604
