Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,210,7,1.816282272954382,0.8162822729543819,1.0465389427041938,0.4163106251233341,1.9269075052210234,3.0490504941199434,4.495304037924805,-0.23280715472747293,-0.054792956696878635,43,23,22,0.20476190476190476,0.2630956980215401,0.23280715472747293,0.0031833018573547947,0.17916622436457835,-0.09757104299695007,0.6047619047619047,0.9362763126952737,1.4326155627987924,-0.03859119468613807,-0.05706393423278573,-0.07106790917866004,-0.08317485994150757,-0.05864504965021057
MVO,MVO,210,7,1.5039022455366893,0.5039022455366893,0.6317872271409783,0.3249629803505944,1.6682063771954672,2.6577806856698794,3.404181525336634,-0.18559152102751098,-0.04417987929063313,46,23,17,0.21904761904761905,0.20396916837277418,0.18559152102751098,0.0021512115721162967,0.12465501023284561,-0.0692278289811042,0.5904761904761905,0.9461877456796576,1.3642707030729946,-0.030520923816731042,-0.0442272520835429,-0.047277668917902096,-0.05924253473866803,-0.04552253259149592
EW,EW,210,7,1.390617836532721,0.3906178365327211,0.4854202994207224,0.28990723816439984,1.5083588311057812,2.3315648178252113,2.4846642814335307,-0.195366554366314,-0.03680271043932461,46,23,18,0.21904761904761905,0.18754964028606344,0.195366554366314,0.0017352545352649184,0.13758024423207146,-0.07344408765037777,0.6285714285714286,0.7963784325279369,1.3477173473549702,-0.02502706730535793,-0.040613800690994024,-0.051762836934415975,-0.0648546742398008,-0.042167178540300325
BLM_LLM__gpt_oss_20b,LLM-BLM (GPT-OSS-20B),210,7,1.4431616346769196,0.4431616346769196,0.553023294534394,0.3067614533360819,1.5872421221476822,2.4728844462341946,2.979787500380567,-0.18559152102751086,-0.04107991355482674,46,23,20,0.21904761904761905,0.19689747368816501,0.18559152102751086,0.0019321615086756738,0.12465501023284561,-0.06922782898110419,0.5952380952380952,0.9122209056145332,1.3415013317860782,-0.026929239057643908,-0.041437275309151735,-0.04203653630991381,-0.05750929978870049,-0.04283360141088154
RelViewBL__gpt_oss_20b,PairBL (GPT-OSS-20B),210,7,1.786304737674536,0.786304737674536,1.0060726644467284,0.3364397467384237,2.2378435119099795,3.6338383611603513,5.883443170349327,-0.17100065987158897,-0.04511579873973438,44,21,22,0.20952380952380953,0.20719124780960357,0.17100065987158897,0.002987696445981024,0.11952461177054438,-0.058466673425395285,0.5904761904761905,1.0367222566141994,1.4948088351181479,-0.03406071234036136,-0.043332600433604394,-0.046292184736951236,-0.05346160827494837,-0.04412242548471719
