Date,AAPL,MSFT,NVDA,AMD,AVGO,ORCL,CRM,ADBE,QCOM,TXN,AMAT,MU,IBM,CSCO,INTU
2026-01-02,-0.00312648029845064,-0.022083474546271464,0.012600619910229538,0.04347215819664707,0.004391744999128644,0.004104464340055181,-0.042618273065957224,-0.047687085079860636,0.011283242040432517,0.023229019800868445,0.04622757590490423,0.10514702657016461,-0.015900768516269537,-0.007569901074071628,-0.0497568249946313
2026-01-05,-0.013837112595369017,-0.0001902960672361953,-0.0038655016095672234,-0.010694945078055573,-0.012082028336404815,-0.015942040622133224,0.01040932710539444,-0.005220492943599497,0.019250807697222205,-0.001971639658287394,0.057462689878844175,-0.010367139430425887,0.011903912135437844,-0.0060493796408970235,0.006958306633920497
2026-01-06,-0.01833426835440255,0.011969994918854088,-0.004677830570294028,-0.03044144957390582,0.0010190970546792855,0.00602327910139655,0.025911065212332884,0.013361058958864191,0.034824963800490716,0.08426944118610846,0.041115668686729556,0.10020812578795502,0.02542627725428792,-0.0046308643471936195,0.02107786223778918
2026-01-07,-0.007737496605901173,0.010365464492384069,0.009987097761727348,-0.020200614451877374,-0.0007854187783428168,-0.004696931807022686,0.012248029510355307,0.006279996221520534,-0.012386877364558013,-0.03326392434047465,-0.012871314962483726,-0.0112977100322591,-0.018977028243681193,-0.00677924504434213,0.00610323244286648
2026-01-08,-0.0049552102640688656,-0.011086533967845869,-0.021521899209228312,-0.0254262045902639,-0.032081510209508335,-0.016542085006860496,-0.021005473444664857,0.002780249702564186,0.009323446832829596,0.01475408160016789,-0.036139532482903136,-0.03690182510922668,0.020186634233183343,-0.010171348409256487,0.002457233297796124
2026-01-09,0.0012738888084979916,0.0024471623168931256,-0.0009727536507572188,-0.0073773429786457845,0.03756624192666802,0.049537439143783946,-0.0022647035311644803,-0.015012966639942227,-0.022488574432594666,0.009870055531810085,0.06937932877390884,0.055256645318929376,0.004955148638118079,-0.001081730569033379,-0.007136833511480423
2026-01-12,0.003392793467145605,-0.004381590565727067,0.00043280183361860125,0.022247400271679707,0.020987277236206303,0.031029542000768018,-0.002077268389707565,-0.018865153706421167,-0.047868045099809575,-0.006515726439419556,0.02012080814380779,0.002260246342429717,0.02616520526391586,0.0017597808475691146,-0.017715286353733983
2026-01-13,0.00307399257312313,-0.013642591882396693,0.004704239730442428,0.06394144457215001,0.00681406737833723,-0.011676781990137441,-0.07070165769440107,-0.05408210453469886,-0.023512857326144943,-0.002856069122391891,-0.0077138275240064,-0.022378364834999553,-0.028893537479576015,0.019726917286725154,-0.04746311936996872
2026-01-14,-0.004175458991876879,-0.023987046955567637,-0.014369520514437517,0.01190209018547117,-0.041510249487506146,-0.04290867212332028,-0.006181015958134473,-0.017713646191442,-0.004537506159236315,0.026096587488366296,-0.009774566318533351,-0.014136557514669246,0.01936267765863553,-0.014045265354434067,-0.06390435768193381
2026-01-15,-0.006731727764257678,-0.005921036695894166,0.021349736670481123,0.019320178656121012,0.009208733454451057,-0.019420373611148234,-0.025211872191836404,-0.0011496718588517307,-0.019144225055884867,-0.022383015320641575,0.05694108571737222,0.009839472519194148,-0.03585407253513195,0.011288808869711842,-0.021214246820598026
2026-01-16,-0.010379221191344046,0.00700735351914572,-0.004383850305160086,0.017155158360483647,0.02533381624109521,0.0065313868343752635,-0.027491111265805612,-0.02620935024724469,-0.01220643457982351,0.01300766874896242,0.024852863809171177,0.07759268471178937,0.025910275129607863,-0.0007973643695280419,-0.016751497899049284
2026-01-20,-0.034555586545020445,-0.011612274057560046,-0.04381668070971212,0.0003881997031436324,-0.054334517595635456,-0.05845411164079184,-0.030998217311118514,-0.019417803913323928,-0.03355916625680411,-0.010387396375413638,-0.02684933962363889,0.006202643248937267,-0.04684784373263129,-0.024471371918077023,-0.02996562172530126
2026-01-21,0.0038508468560267684,-0.022903314807395048,0.02948279737606585,0.077095571852271,-0.011425190841170996,-0.033570457805832565,0.00686149773535516,0.013293439177773259,0.014928272860255776,0.02542332516337531,0.02202802369311363,0.0660546820753154,0.02124597958906249,0.004635404349281558,-0.007619005765960307
2026-01-22,0.002826561879143208,0.01582950006612327,0.008291397296120495,0.01573255655632222,-0.010066909961502946,0.02472957317585056,0.02937987742205639,0.018692858629759446,0.009144981310038158,0.0029834278183404894,-0.01983148673221158,0.021767565389802623,-0.009645782365346856,0.008685029323976634,0.04337814247712135
2026-01-23,-0.0012482700788880585,0.03282791169509047,0.015310543910665775,0.02345011251500373,-0.016713293761235426,-0.005724452082182974,-0.00017535804003498967,0.00447067790602973,-0.012547429651348696,-0.008615866037271602,0.011261359606800081,0.005206588078870311,-0.007567837529876664,0.003497839228668864,0.02972472383457192
2026-01-26,0.029713035188522863,0.009292817361890027,-0.006394170442939551,-0.032231959924759024,0.01499774091203987,0.029803543623383444,0.005919708112155586,0.012123405878001536,-0.008343080099424971,0.016967529608372667,-0.009057659841195553,-0.02642315199646339,0.013301782945113638,0.032444036413904254,-0.003900777582185211
2026-01-27,0.011197599163490057,0.021901909507044515,0.010993714284356582,0.002864992350872342,0.02444204802040284,-0.041328703739185846,-0.0037924578177900292,-0.02395637885181523,-0.009578061550766126,0.00020352618538699296,0.04147616678533761,0.05435763330685206,-0.008335289606710816,0.021685482667180622,-0.029139972357528854
2026-01-28,-0.007085580156587334,0.0021848051911272925,0.015913391112786668,0.002817151598246692,0.0013521598109129673,-0.01200676251226418,-0.0024941751018833225,0.007262366508688389,-0.0022216799260105224,0.09937444133931295,0.01214273911483077,0.0610375128963212,0.0010209728701500165,0.0035586875189355105,-0.012284561830858798
2026-01-29,0.0071751307281611165,-0.0999314476548332,0.005169204870006494,-0.0022157664208721783,-0.007532034239343566,-0.021932882936475107,-0.060887907812948505,-0.026470368620129303,-0.003143360283535346,0.012952757201551979,0.013630357234517998,0.0011716529847547452,0.05126459319824206,-0.00671223529058429,-0.06630783375376392
