Rebalance,Formation_End,Formation_Days,Holding_Start,Holding_End,Accepted_Views,Rejected_Views,Calibration
0,2025-03-03,176,2025-03-04,2025-05-28,13,2,none
1,2025-05-28,236,2025-05-29,2025-08-22,13,2,none
2,2025-08-22,252,2025-08-25,2025-11-17,11,4,none
