Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,180,3,1.1912977724164322,0.1912977724164322,0.2776987255052634,0.30533696824896167,0.9556416148840996,1.328719429045842,1.4898165566177148,-0.18639793219623924,-0.035533942012919255,46,25,14,0.25555555555555554,0.21960446053745905,0.18639793219623924,0.001157907592941479,0.10644735170503579,-0.09531933694074932,0.5777777777777777,0.8799229752050192,1.2041051239647629,-0.027011727225058534,-0.04916720190919965,-0.056092583505479104,-0.08489472470198343,-0.049167201909199654
MVO,MVO,180,3,1.1221151871090034,0.12211518710900338,0.17503936574193646,0.27063652080738304,0.7316655625745234,0.9908243538466119,1.0027943818280087,-0.17455160191748842,-0.032338933160259146,32,25,13,0.17777777777777778,0.1998491674947264,0.17455160191748842,0.0007857754851180381,0.09362038255124323,-0.08181964074123896,0.5833333333333334,0.8244110360791503,1.1541754505108104,-0.02605653113979747,-0.044749360607668404,-0.052526295327015145,-0.07834071754262435,-0.044749360607668404
EW,EW,180,3,1.1200139922995278,0.1200139922995278,0.17196010408810491,0.2351929763379382,0.7925980627516169,1.0718726104692184,1.1369312330736416,-0.15124934480269192,-0.027908408452721037,32,23,14,0.17777777777777778,0.1739138546852439,0.15124934480269192,0.0007397361008660186,0.08039348355163563,-0.07215900634677935,0.5722222222222222,0.8735956654175967,1.1685760199741877,-0.02061069509617712,-0.0386473991205521,-0.04699403826803844,-0.07044702418480117,-0.03864739912055211
BLM_LLM__llama_31_8b,LLM-BLM (Llama-3.1-8B),180,3,1.1425047744427284,0.14250477444272835,0.20503936180700189,0.23242983117978175,0.9194404499466761,1.2281331734062848,1.2580209551680348,-0.16298564897880785,-0.030707278903586828,35,23,15,0.19444444444444445,0.1740083186322918,0.16298564897880785,0.0008480372561943193,0.0709571314123587,-0.07456636878488222,0.5888888888888889,0.8330054376138335,1.1932240052306264,-0.0200587221655943,-0.037809657622284415,-0.05096705325002038,-0.07131845593585875,-0.037809657622284415
RelViewBL__llama_31_8b,PairBL (Llama-3.1-8B),180,3,1.1578651162326792,0.15786511623267918,0.22778170516696772,0.21467897908378022,1.0638192227337981,1.4374745295802218,1.5745299413040674,-0.14466648057407716,-0.023614048393021406,30,23,16,0.16666666666666666,0.15887559742215737,0.14466648057407716,0.0009062683518499697,0.06816237517637375,-0.07134666088157034,0.6055555555555555,0.79659085316629,1.2229352534524736,-0.019630960306505015,-0.035044091892837706,-0.03999658843413735,-0.06462317712407065,-0.035044091892837706
