Date,us_technology__BL,us_technology__MVO,us_technology__EW,us_technology__BLM_LLM__gpt_oss_20b,us_technology__RelViewBL__gpt_oss_20b,us_financials__BL,us_financials__MVO,us_financials__EW,us_financials__BLM_LLM__gpt_oss_20b,us_financials__RelViewBL__gpt_oss_20b,cross_asset_etfs__BL,cross_asset_etfs__MVO,cross_asset_etfs__EW,cross_asset_etfs__BLM_LLM__gpt_oss_20b,cross_asset_etfs__RelViewBL__gpt_oss_20b
2026-01-02,1.0325198626922125,1.028801199993726,1.0031142029457945,1.0325198626922125,1.0353454539124736,1.021163227712441,1.0210336137793337,1.0114363143124556,1.019728174550084,1.0195466671865283,1.0082790332639706,1.0092361022980743,1.0041797124882446,1.0080739313630978,1.0093730756627797
2026-01-05,1.0352062067794314,1.0321544170859462,1.0048371831624168,1.0352062067794316,1.0396093111853402,1.0448326688231295,1.0465130075722036,1.0357718006886563,1.0423471448308859,1.045706823088489,1.026197496221399,1.0277791985036744,1.0172517327801245,1.0277430065782769,1.0244233275914154
2026-01-06,1.0563963912366687,1.0533133877717065,1.0254110517463544,1.056396391236669,1.0738718000578633,1.0528714555133987,1.0531094359846056,1.038152015151551,1.0520874450157525,1.0554038464424438,1.0388051184773162,1.0444405639167176,1.0243468492740915,1.0393284023726794,1.0384786986016417
2026-01-07,1.048770876732307,1.0442639074334663,1.0196678788586124,1.0487708767323072,1.0608884780007202,1.0350642922349502,1.0353475279830942,1.0197665037441725,1.032813292667987,1.0375870964606178,1.0287774582253466,1.0339959799840104,1.0179679124837822,1.0284411424065274,1.030666979944744
2026-01-08,1.0232232232021188,1.0218781691804615,1.0083611232008782,1.023223223202119,1.0424987453400398,1.039570950384334,1.0371280404540693,1.0259065380419257,1.036629486895491,1.0418144998208092,1.0334453407184885,1.0318350269466279,1.0214281027621421,1.0320155999486542,1.0305256223849728
2026-01-09,1.0521390779878097,1.0512825439880598,1.0200548185962066,1.05213907798781,1.067628332279918,1.0355862919934753,1.0348893978392353,1.021460107376068,1.0288702304032302,1.0363485801181442,1.0451080869996945,1.0440805374797957,1.0287032382075945,1.043926947460644,1.0410961970526673
2026-01-12,1.0624236394834263,1.0690860297068343,1.0221610811584703,1.0624236394834266,1.073659851901603,1.0134829620117736,1.0209142804741296,1.011114164969813,1.0136961025896962,1.0135240829405106,1.0612815121433234,1.0612121140179473,1.0380489522876761,1.062713186479921,1.0526215869785016
2026-01-13,1.0652946596783959,1.0704795032477865,1.0095775797578193,1.065294659678396,1.0750038704617337,1.0014710976433483,1.0037507132993637,1.0005494828868176,0.9998152869455225,1.002802733735939,1.0656138953624485,1.0603138143325685,1.0404804396051799,1.0668398776770633,1.050510443832304
2026-01-14,1.047106487683404,1.058094284359013,0.9961244531857925,1.0471064876834042,1.0675515712121981,0.9853018443900453,0.9918042520548737,0.9960462292110421,0.9938319933571158,0.9920107081607192,1.0753442503785882,1.072845211252868,1.0469780919827294,1.077893967421853,1.0584032935463563
2026-01-15,1.0603747954548375,1.0688643433686231,0.9941931520898779,1.0603747954548377,1.0760200737099523,1.0082957400699575,1.0168795729913362,1.012136475262251,1.0125937319239795,1.0168962910450807,1.0733846508710911,1.0720322923339087,1.0456238040391213,1.072998958433631,1.0610618432802743
2026-01-16,1.082474772235502,1.0962510857922054,1.0007662519954557,1.0824747722355021,1.0964566468265478,1.009469656666826,1.0172127562568876,1.0196233735023374,1.0169965778798877,1.0203470076490933,1.0694350532752819,1.0661865578887209,1.0435280523297277,1.0685607965166266,1.0575627028428882
2026-01-20,1.050124485832698,1.0626684840198302,0.972832925186127,1.0501244858326981,1.0709164222593925,0.9777852003263874,0.9845081073586824,0.9967505529716333,0.9866562975366437,0.9912434725703685,1.0666729368828842,1.0683908270732554,1.0413378006443335,1.0741768212185414,1.0480815332374604
2026-01-21,1.075267239652744,1.0916955220926552,0.9864124970887684,1.0752672396527443,1.1024762420927299,0.9852330841444495,0.9897320085067756,1.0041762103616492,0.9946190664103464,1.0027006619699366,1.078327928834371,1.0776700956129053,1.0508538593776982,1.0848934835311532,1.059530738121843
2026-01-22,1.0828026076185575,1.0954182675180348,0.9970589979124579,1.0828026076185577,1.1123604411975179,0.9976733404665327,1.0010115710897853,1.014058871525994,1.005692068654792,1.0139334184525866,1.0860647859783457,1.0912693431218046,1.0557184294638295,1.0942890009993447,1.0694655587835586
2026-01-23,1.0867698726898016,1.0998762646389189,1.001921804177197,1.0867698726898019,1.1177870915360926,0.9689654734634584,0.9713220914699556,0.9957861930386575,0.9759353379104622,0.984701276001995,1.1002815788025821,1.1062816292648017,1.0645948408424206,1.1148028312784417,1.075165479890294
