Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,sortino,calmar,mean_daily_return,best_day,worst_day,positive_day_ratio,daily_var_95,daily_cvar_95
BL,BL,180,3,1.8075811306826823,0.8075811306826823,1.2905349283887841,0.42274278632292556,2.1702874253516184,-0.23280715472747293,3.543980326352323,5.543364549510951,0.003640767275058537,0.17916622436457835,-0.09757104299695007,0.6,-0.03361163804828909,-0.05676266310126495
MVO,MVO,180,3,1.4432657249775274,0.44326572497752736,0.6714170082862168,0.3231796788461943,1.7494291097377581,-0.18559152102751098,2.8649750264514386,3.617713808093043,0.0022435711819413975,0.12465501023284561,-0.0692278289811042,0.6,-0.02915283569069595,-0.0427151786704064
EW,EW,180,3,1.3489657761194007,0.3489657761194007,0.5205520959424168,0.3014742735480368,1.5389401717093645,-0.195366554366314,2.4167169010319527,2.66448931154499,0.0018410748821427445,0.13758024423207146,-0.07344408765037777,0.6222222222222222,-0.02496822853583227,-0.042713338631591574
BLM_LLM__gpt_oss_20b,LLM-BLM (Gpt Oss 20B),180,3,1.736423879649561,0.736423879649561,1.1652998688906036,0.3941143458617237,2.156065450413016,-0.21566518900403597,3.521410632553765,5.403282162838046,0.003371969542161066,0.16002651343424623,-0.08404099269410541,0.6055555555555555,-0.03352599900355532,-0.05310931209283805
RelViewBL__gpt_oss_20b,PairBL (Gpt Oss 20B),180,3,1.6898810583395532,0.6898810583395532,1.0844841310740687,0.41014720279585415,1.9941020017914146,-0.22200591706137562,3.250256494211618,4.884933453256801,0.003245537135414135,0.1653063913699177,-0.08932031900552594,0.5944444444444444,-0.035204932032686834,-0.053931616660876286
