Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,180,3,1.1555533129399416,0.15555331293994157,0.22435111708587452,0.18086489266153433,1.2090729361639199,1.7964241214472276,1.647237781881315,-0.13619837982931793,-0.019035505341486222,32,23,23,0.17777777777777778,0.121730077106225,0.13619837982931793,0.0008677732016637044,0.08128097635149598,-0.05714256685156685,0.5666666666666667,0.993016414746696,1.2985599269764485,-0.013462972495122254,-0.02739146590856004,-0.03302785157462144,-0.05181212524270708,-0.027391465908560043
MVO,MVO,180,3,1.2078529686389938,0.20785296863899383,0.3026258714984922,0.11688618786983539,2.3211663990364477,3.5208932553825862,4.389117850768616,-0.06894913323995089,-0.011537077574523108,17,13,24,0.09444444444444444,0.07705780099415205,0.06894913323995089,0.0010766360785512837,0.03323675604330177,-0.027370811729418357,0.6111111111111112,0.9501539253212835,1.493099025504874,-0.010301027122923277,-0.01711443799143593,-0.0198869533434548,-0.025851405242083153,-0.01711443799143593
EW,EW,180,3,1.1385864134833423,0.13858641348334233,0.19925736981851205,0.12168738616249627,1.5540269153231303,2.312218929470937,2.0960677853187586,-0.09506246468465718,-0.012585826239041566,27,24,27,0.15,0.0817852803389635,0.09506246468465718,0.0007504185450469788,0.054339198101397784,-0.03790233428348793,0.6055555555555555,0.8967615338762882,1.3767184111621888,-0.010181203049015979,-0.01852989985579738,-0.021928816179391776,-0.03423088706481649,-0.01852989985579738
BLM_LLM__gpt_oss_120b,LLM-BLM (GPT-OSS-120B),180,3,1.1532067008133218,0.15320670081332177,0.22087168113091948,0.11063305123630673,1.8595389898229557,2.793219652649584,3.139888385980843,-0.07034380015451513,-0.01054541728298044,17,13,24,0.09444444444444444,0.0736520925383887,0.07034380015451513,0.0008163748902261631,0.03423040697369384,-0.0275661189256195,0.5555555555555556,1.0966334778378974,1.3707918472973717,-0.010042943112887677,-0.015623290455328185,-0.017138132827046446,-0.02332522145384682,-0.015623290455328185
RelViewBL__gpt_oss_120b,PairBL (GPT-OSS-120B),180,3,1.1977989001495455,0.1977989001495455,0.2874710548991142,0.12678012571616346,2.057126489001805,3.077658934198264,3.656253765110715,-0.07862448105825315,-0.020722556366856146,57,54,19,0.31666666666666665,0.08474062931136273,0.07862448105825315,0.0010349315670226142,0.028186018606376796,-0.025403424050254815,0.5833333333333334,1.019823128159262,1.427752379422967,-0.011952840089390097,-0.018797200374737658,-0.024601053616674227,-0.02533897803612378,-0.018797200374737658
