Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,210,7,1.3621828483133394,0.36218284831333936,0.44904705697667846,0.2903295733331829,1.4237145853540454,2.0102661721914874,2.4090774596357805,-0.18639793219623924,-0.03391267402759677,46,25,18,0.21904761904761905,0.20561777033906942,0.18639793219623924,0.0016402636829923388,0.10644735170503579,-0.09531933694074932,0.5904761904761905,0.9122706203401544,1.3153669409555715,-0.025440618926375433,-0.045131938312933384,-0.05117781867020162,-0.07366562232799041,-0.047051573098071585
MVO,MVO,210,7,1.2148050504467605,0.21480505044676046,0.26301324965361106,0.25374514191442477,1.0477905717933962,1.4257540723753792,1.5067936745601394,-0.17455160191748842,-0.03230033990992619,35,28,18,0.16666666666666666,0.18647799959873562,0.17455160191748842,0.0010550466957790143,0.09362038255124323,-0.08181964074123896,0.6095238095238096,0.7853597966647833,1.2259274874767347,-0.02336917712598591,-0.04112292880133804,-0.04650463772228797,-0.06775681528781419,-0.0428485260905582
EW,EW,210,7,1.2392293648014066,0.23922936480140655,0.2935464698988586,0.2232226511471088,1.2654245145180534,1.7406886132207304,1.9408115141377726,-0.15124934480269192,-0.026477888815506476,32,23,17,0.1523809523809524,0.16227567228960998,0.15124934480269192,0.001120918313322472,0.08039348355163563,-0.07215900634677935,0.580952380952381,0.9236154205180664,1.2804668329909557,-0.019696842069545552,-0.035325191337145546,-0.0408040873911631,-0.06070294415832553,-0.03683661842154586
BLM_LLM__llama_31_8b,LLM-BLM (Llama-3.1-8B),210,7,1.203485788522911,0.2034857885229111,0.24890429593755115,0.20232636364828438,1.2000174617087933,1.7035834909503085,1.9412947188447225,-0.12821561482724053,-0.023473205071821733,50,17,16,0.23809523809523808,0.14252026427336784,0.12821561482724053,0.0009634728942142242,0.07245680035438788,-0.0705575715128605,0.580952380952381,0.9066458641232298,1.2569408570799323,-0.01848829844035933,-0.03081086954216846,-0.030296308699927412,-0.04861323428439757,-0.032033319422391335
RelViewBL__llama_31_8b,PairBL (Llama-3.1-8B),210,7,1.225636005194672,0.22563600519467197,0.276538192067288,0.2078964536885641,1.2791047058509397,1.7551195311868641,1.9367833314857217,-0.14278220365266847,-0.026650109314882573,27,17,19,0.12857142857142856,0.1515118073257041,0.14278220365266847,0.0010552433819157312,0.06584612731864788,-0.07083343105321738,0.580952380952381,0.9213527207298827,1.2773299082846103,-0.0219514081190944,-0.03301429000786615,-0.033737551945298594,-0.05343629334302306,-0.03407029530096044
