Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,210,7,1.2456340906419379,0.24563409064193786,0.30157315490095704,0.17694590847695102,1.5780311790227042,2.359272498252668,2.214219840785806,-0.13619837982931793,-0.01888519136090847,32,23,28,0.1523809523809524,0.11835265353363286,0.13619837982931793,0.001108040319750502,0.08128097635149598,-0.05714256685156685,0.5714285714285714,1.0389907793954203,1.3853210391938937,-0.01505974930574297,-0.025555537255025816,-0.029210382605989984,-0.04435858898522815,-0.02659214932639607
MVO,MVO,210,7,1.3132888249723846,0.31328882497238464,0.38685896592920277,0.12249130909048386,2.7326078628000245,4.174975315993274,5.6107879497613,-0.06894913323995089,-0.013082045989964772,16,11,31,0.0761904761904762,0.08017310020087878,0.06894913323995089,0.001328256802957636,0.03323675604330177,-0.027370811729418357,0.6142857142857143,0.9979393077505482,1.5893107493805028,-0.011230408500882784,-0.017843353157491734,-0.019794410343895192,-0.024182487490202836,-0.018456543299574524
EW,EW,210,7,1.1873826264496818,0.18738262644968184,0.22887816642609793,0.11728155241735723,1.8162241641781423,2.7122714311824825,2.4076607647964576,-0.09506246468465718,-0.012242472145798607,27,24,32,0.12857142857142856,0.07853549872029686,0.09506246468465718,0.0008452761488600381,0.054339198101397784,-0.03790233428348793,0.6190476190476191,0.8832357881984495,1.4352581558224804,-0.009811900972014401,-0.017019987950106535,-0.019303083525606307,-0.029365457963760073,-0.01770871438240019
BLM_LLM__llama_31_70b,LLM-BLM (Llama-3.1-70B),210,7,1.2556861853353185,0.2556861853353185,0.3141875227599764,0.12112878500109384,2.317084239535722,3.493291876182361,3.6295977144739267,-0.08656262965646999,-0.013107461424447825,32,29,24,0.1523809523809524,0.08034415921376442,0.08656262965646999,0.0011137523757148628,0.04294409728607433,-0.03342359839132302,0.6,1.0039772241502842,1.5059658362254265,-0.01046756930817627,-0.01733262307407651,-0.022404696167046538,-0.028179286232196774,-0.018000936618234674
RelViewBL__llama_31_70b,PairBL (Llama-3.1-70B),210,7,1.2456340906419379,0.24563409064193786,0.30157315490095704,0.17694590847695102,1.5780311790227042,2.359272498252668,2.214219840785806,-0.13619837982931793,-0.01888519136090847,32,23,28,0.1523809523809524,0.11835265353363286,0.13619837982931793,0.001108040319750502,0.08128097635149598,-0.05714256685156685,0.5714285714285714,1.0389907793954203,1.3853210391938937,-0.01505974930574297,-0.025555537255025816,-0.029210382605989984,-0.04435858898522815,-0.02659214932639607
