Rebalance,Formation_End,Formation_Days,Holding_Start,Holding_End,Accepted_Views,Rejected_Views,Calibration
0,2025-03-03,40,2025-03-04,2025-04-14,0,15,none
1,2025-04-14,70,2025-04-15,2025-05-28,0,15,none
2,2025-05-28,100,2025-05-29,2025-07-11,0,15,none
3,2025-07-11,130,2025-07-14,2025-08-22,0,15,none
4,2025-08-22,160,2025-08-25,2025-10-06,0,15,none
5,2025-10-06,190,2025-10-07,2025-11-17,0,15,none
6,2025-11-17,220,2025-11-18,2025-12-31,0,15,none
