Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,210,7,1.3621828483133394,0.36218284831333936,0.44904705697667846,0.2903295733331829,1.4237145853540454,2.0102661721914874,2.4090774596357805,-0.18639793219623924,-0.03391267402759677,46,25,18,0.21904761904761905,0.20561777033906942,0.18639793219623924,0.0016402636829923388,0.10644735170503579,-0.09531933694074932,0.5904761904761905,0.9122706203401544,1.3153669409555715,-0.025440618926375433,-0.045131938312933384,-0.05117781867020162,-0.07366562232799041,-0.047051573098071585
MVO,MVO,210,7,1.2148050504467605,0.21480505044676046,0.26301324965361106,0.25374514191442477,1.0477905717933962,1.4257540723753792,1.5067936745601394,-0.17455160191748842,-0.03230033990992619,35,28,18,0.16666666666666666,0.18647799959873562,0.17455160191748842,0.0010550466957790143,0.09362038255124323,-0.08181964074123896,0.6095238095238096,0.7853597966647833,1.2259274874767347,-0.02336917712598591,-0.04112292880133804,-0.04650463772228797,-0.06775681528781419,-0.0428485260905582
EW,EW,210,7,1.2392293648014066,0.23922936480140655,0.2935464698988586,0.2232226511471088,1.2654245145180534,1.7406886132207304,1.9408115141377726,-0.15124934480269192,-0.026477888815506476,32,23,17,0.1523809523809524,0.16227567228960998,0.15124934480269192,0.001120918313322472,0.08039348355163563,-0.07215900634677935,0.580952380952381,0.9236154205180664,1.2804668329909557,-0.019696842069545552,-0.035325191337145546,-0.0408040873911631,-0.06070294415832553,-0.03683661842154586
BLM_LLM__llama_31_70b,LLM-BLM (Llama-3.1-70B),210,7,1.1997101933135625,0.19971019331356255,0.2442040727297945,0.23333746306658895,1.0532555938305828,1.4674537119589541,1.4676016319813328,-0.1663967028982567,-0.033840949428686706,58,23,16,0.2761904761904762,0.16747648407733629,0.1663967028982567,0.0009752539215282611,0.09401378173958852,-0.07646550921398233,0.6095238095238096,0.7898827306694167,1.2329876771425041,-0.02028814683273658,-0.03614882958179795,-0.040966814906104154,-0.06194822078295436,-0.03768391790313821
RelViewBL__llama_31_70b,PairBL (Llama-3.1-70B),210,7,1.3621828483133394,0.36218284831333936,0.44904705697667846,0.2903295733331829,1.4237145853540454,2.0102661721914874,2.4090774596357805,-0.18639793219623924,-0.03391267402759677,46,25,18,0.21904761904761905,0.20561777033906942,0.18639793219623924,0.0016402636829923388,0.10644735170503579,-0.09531933694074932,0.5904761904761905,0.9122706203401544,1.3153669409555715,-0.025440618926375433,-0.045131938312933384,-0.05117781867020162,-0.07366562232799041,-0.047051573098071585
