Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
BL,BL,210,7,1.816282272954382,0.8162822729543819,1.0465389427041938,0.4163106251233341,1.9269075052210234,3.0490504941199434,4.495304037924805,-0.23280715472747293,-0.054792956696878635,43,23,22,0.20476190476190476,0.2630956980215401,0.23280715472747293,0.0031833018573547947,0.17916622436457835,-0.09757104299695007,0.6047619047619047,0.9362763126952737,1.4326155627987924,-0.03859119468613807,-0.05706393423278573,-0.07106790917866004,-0.08317485994150757,-0.05864504965021057
MVO,MVO,210,7,1.5039022455366893,0.5039022455366893,0.6317872271409783,0.3249629803505944,1.6682063771954672,2.6577806856698794,3.404181525336634,-0.18559152102751098,-0.04417987929063313,46,23,17,0.21904761904761905,0.20396916837277418,0.18559152102751098,0.0021512115721162967,0.12465501023284561,-0.0692278289811042,0.5904761904761905,0.9461877456796576,1.3642707030729946,-0.030520923816731042,-0.0442272520835429,-0.047277668917902096,-0.05924253473866803,-0.04552253259149592
EW,EW,210,7,1.390617836532721,0.3906178365327211,0.4854202994207224,0.28990723816439984,1.5083588311057812,2.3315648178252113,2.4846642814335307,-0.195366554366314,-0.03680271043932461,46,23,18,0.21904761904761905,0.18754964028606344,0.195366554366314,0.0017352545352649184,0.13758024423207146,-0.07344408765037777,0.6285714285714286,0.7963784325279369,1.3477173473549702,-0.02502706730535793,-0.040613800690994024,-0.051762836934415975,-0.0648546742398008,-0.042167178540300325
BLM_LLM__llama_31_70b,LLM-BLM (Llama-3.1-70B),210,7,1.6428526770771064,0.6428526770771064,0.8143386145518585,0.2933814239102971,2.176864860369752,3.646655598320176,4.678505901634084,-0.1740595462896457,-0.03400504447620268,42,21,27,0.2,0.17513354227631514,0.1740595462896457,0.002534332192045904,0.11774474302184194,-0.059560470714397386,0.5857142857142857,1.0592447776784655,1.4975529615454168,-0.02513103524866255,-0.037894269727378464,-0.03838306010459883,-0.05164407970267453,-0.03909925087521565
RelViewBL__llama_31_70b,PairBL (Llama-3.1-70B),210,7,1.816282272954382,0.8162822729543819,1.0465389427041938,0.4163106251233341,1.9269075052210234,3.0490504941199434,4.495304037924805,-0.23280715472747293,-0.054792956696878635,43,23,22,0.20476190476190476,0.2630956980215401,0.23280715472747293,0.0031833018573547947,0.17916622436457835,-0.09757104299695007,0.6047619047619047,0.9362763126952737,1.4326155627987924,-0.03859119468613807,-0.05706393423278573,-0.07106790917866004,-0.08317485994150757,-0.05864504965021057
