Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,sortino,calmar,mean_daily_return,best_day,worst_day,positive_day_ratio,daily_var_95,daily_cvar_95
BL,BL,210,7,1.3621828483133394,0.36218284831333936,0.44904705697667846,0.2903295733331829,1.4237145853540454,-0.18639793219623924,2.0102661721914874,2.4090774596357805,0.0016402636829923388,0.10644735170503579,-0.09531933694074932,0.5904761904761905,-0.025440618926375443,-0.045131938312933384
MVO,MVO,210,7,1.2148050504467605,0.21480505044676046,0.26301324965361106,0.25374514191442477,1.0477905717933962,-0.17455160191748842,1.4257540723753792,1.5067936745601394,0.0010550466957790143,0.09362038255124323,-0.08181964074123896,0.6095238095238096,-0.02336917712598592,-0.04112292880133804
EW,EW,210,7,1.2392293648014066,0.23922936480140655,0.2935464698988586,0.2232226511471088,1.2654245145180534,-0.15124934480269192,1.7406886132207304,1.9408115141377726,0.001120918313322472,0.08039348355163563,-0.07215900634677935,0.580952380952381,-0.019696842069545563,-0.035325191337145546
BLM_LLM__gpt_oss_20b,LLM-BLM (Gpt Oss 20B),210,7,1.3037842641193074,0.30378426411930737,0.37482329458292174,0.2119065690669863,1.6086270497278785,-0.1293542166233731,2.3612021491924793,2.897650377136563,0.0013526930119689804,0.07915281343607841,-0.06724648371835779,0.5761904761904761,-0.018265524916190757,-0.030689142189113904
RelViewBL__gpt_oss_20b,PairBL (Gpt Oss 20B),210,7,1.3288025595699882,0.32880255956998816,0.4065414891302428,0.2832835458777666,1.3470088025955542,-0.18575678288491937,1.8796977790498368,2.188568744658464,0.0015142278965390203,0.10098581009601452,-0.09658708079349859,0.5952380952380952,-0.024877180088919842,-0.04425793607745167
