Dataset,Holding_Days,Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
us_technology,30,BL,BL,210,7,1.816282272954382,0.8162822729543819,1.0465389427041938,0.4163106251233341,1.9269075052210236,3.0490504941199434,4.495304037924805,-0.2328071547274729,-0.0547929566968786,43,23,22,0.2047619047619047,0.2630956980215401,0.2328071547274729,0.0031833018573547,0.1791662243645783,-0.09757104299695,0.6047619047619047,0.9362763126952736,1.4326155627987924,-0.038591194686138,-0.0570639342327857,-0.07106790917866,-0.0831748599415075,-0.0586450496502105
us_technology,30,MVO,MVO,210,7,1.5039022455366893,0.5039022455366893,0.6317872271409783,0.3249629803505944,1.6682063771954672,2.65778068566988,3.404181525336634,-0.1855915210275109,-0.0441798792906331,46,23,17,0.219047619047619,0.2039691683727741,0.1855915210275109,0.0021512115721162,0.1246550102328456,-0.0692278289811042,0.5904761904761905,0.9461877456796576,1.3642707030729946,-0.030520923816731,-0.0442272520835429,-0.047277668917902,-0.059242534738668,-0.0455225325914959
us_technology,30,EW,EW,210,7,1.390617836532721,0.3906178365327211,0.4854202994207224,0.2899072381643998,1.5083588311057812,2.3315648178252117,2.4846642814335307,-0.195366554366314,-0.0368027104393246,46,23,18,0.219047619047619,0.1875496402860634,0.195366554366314,0.0017352545352649,0.1375802442320714,-0.0734440876503777,0.6285714285714286,0.7963784325279369,1.3477173473549702,-0.0250270673053579,-0.040613800690994,-0.0517628369344159,-0.0648546742398008,-0.0421671785403003
us_technology,30,BLM_LLM__gpt_oss_20b,LLM-BLM (GPT-OSS-20B),210,7,1.4431616346769196,0.4431616346769196,0.553023294534394,0.3067614533360819,1.5872421221476822,2.4728844462341946,2.979787500380567,-0.1855915210275108,-0.0410799135548267,46,23,20,0.219047619047619,0.196897473688165,0.1855915210275108,0.0019321615086756,0.1246550102328456,-0.0692278289811041,0.5952380952380952,0.9122209056145332,1.3415013317860782,-0.0269292390576439,-0.0414372753091517,-0.0420365363099138,-0.0575092997887004,-0.0428336014108815
us_technology,30,RelViewBL__gpt_oss_20b,PairBL (GPT-OSS-20B),210,7,1.786304737674536,0.786304737674536,1.0060726644467284,0.3364397467384237,2.2378435119099795,3.6338383611603513,5.883443170349327,-0.1710006598715889,-0.0451157987397343,44,21,22,0.2095238095238095,0.2071912478096035,0.1710006598715889,0.002987696445981,0.1195246117705443,-0.0584666734253952,0.5904761904761905,1.0367222566141994,1.494808835118148,-0.0340607123403613,-0.0433326004336043,-0.0462921847369512,-0.0534616082749483,-0.0441224254847171
us_technology,60,BL,BL,180,3,1.8075811306826823,0.8075811306826823,1.290534928388784,0.4227427863229255,2.1702874253516184,3.543980326352323,5.543364549510951,-0.2328071547274729,-0.0491261463644987,33,23,22,0.1833333333333333,0.2588821801556302,0.2328071547274729,0.0036407672750585,0.1791662243645783,-0.09757104299695,0.6,1.0033732943130216,1.5050599414695325,-0.033611638048289,-0.0567626631012649,-0.0738199903374911,-0.0886331971504502,-0.0567626631012649
us_technology,60,MVO,MVO,180,3,1.4432657249775274,0.4432657249775273,0.6714170082862168,0.3231796788461943,1.749429109737758,2.864975026451438,3.617713808093043,-0.1855915210275109,-0.0410006010824134,46,23,18,0.2555555555555555,0.1973420126281213,0.1855915210275109,0.0022435711819413,0.1246550102328456,-0.0692278289811042,0.6,0.9273051082967252,1.390957662445088,-0.0291528356906959,-0.0427151786704064,-0.0481624531346306,-0.0652241172946476,-0.0427151786704064
us_technology,60,EW,EW,180,3,1.3489657761194007,0.3489657761194007,0.5205520959424168,0.3014742735480368,1.5389401717093645,2.4167169010319527,2.66448931154499,-0.195366554366314,-0.0361287728323827,46,23,17,0.2555555555555555,0.1919756799407749,0.195366554366314,0.0018410748821427,0.1375802442320714,-0.0734440876503777,0.6222222222222222,0.8275163641713666,1.3629681292234277,-0.0249682285358322,-0.0427133386315915,-0.0561815271576232,-0.0707765451587287,-0.0427133386315915
us_technology,60,BLM_LLM__gpt_oss_20b,LLM-BLM (GPT-OSS-20B),180,3,1.736423879649561,0.736423879649561,1.1652998688906036,0.3941143458617237,2.156065450413016,3.521410632553765,5.403282162838046,-0.2156651890040359,-0.0473395988070107,33,23,23,0.1833333333333333,0.2413056622164938,0.2156651890040359,0.003371969542161,0.1600265134342462,-0.0840409926941054,0.6055555555555555,0.9777079560338374,1.5009882705308206,-0.0335259990035553,-0.053109312092838,-0.0645172322360623,-0.0794405185786826,-0.053109312092838
us_technology,60,RelViewBL__gpt_oss_20b,PairBL (GPT-OSS-20B),180,3,1.6898810583395532,0.6898810583395532,1.0844841310740687,0.4101472027958541,1.9941020017914144,3.250256494211618,4.884933453256801,-0.2220059170613756,-0.0472707642397085,33,23,23,0.1833333333333333,0.2516340970569296,0.2220059170613756,0.0032455371354141,0.1653063913699177,-0.0893203190055259,0.5944444444444444,0.9903691695123832,1.451637001888014,-0.0352049320326868,-0.0539316166608762,-0.0684828163969094,-0.0818398481483831,-0.0539316166608762
