Dataset,Method,Asset,Weight
us_technology,BL,AAPL,0.0
us_technology,BL,MSFT,2.7312796462551436e-17
us_technology,BL,NVDA,0.15
us_technology,BL,AMD,0.15
us_technology,BL,AVGO,0.15
us_technology,BL,ORCL,0.15
us_technology,BL,CRM,0.0
us_technology,BL,ADBE,2.508287639904001e-17
us_technology,BL,QCOM,0.1
us_technology,BL,TXN,0.0
us_technology,BL,AMAT,0.1499999999999999
us_technology,BL,MU,0.15
us_technology,BL,IBM,0.0
us_technology,BL,CSCO,0.0
us_technology,BL,INTU,1.5860538147587644e-17
us_technology,MVO,AAPL,6.782246334413433e-17
us_technology,MVO,MSFT,4.8994631557517086e-17
us_technology,MVO,NVDA,0.15
us_technology,MVO,AMD,0.15
us_technology,MVO,AVGO,0.1499999999999998
us_technology,MVO,ORCL,0.0999999999999995
us_technology,MVO,CRM,3.6046001616554025e-17
us_technology,MVO,ADBE,2.3578290636059092e-17
us_technology,MVO,QCOM,0.0
us_technology,MVO,TXN,8.442542773536054e-17
us_technology,MVO,AMAT,0.1499999999999999
us_technology,MVO,MU,0.15
us_technology,MVO,IBM,0.15
us_technology,MVO,CSCO,0.0
us_technology,MVO,INTU,1.010672818260946e-16
us_technology,EW,AAPL,0.0666666666666666
us_technology,EW,MSFT,0.0666666666666666
us_technology,EW,NVDA,0.0666666666666666
us_technology,EW,AMD,0.0666666666666666
us_technology,EW,AVGO,0.0666666666666666
us_technology,EW,ORCL,0.0666666666666666
us_technology,EW,CRM,0.0666666666666666
us_technology,EW,ADBE,0.0666666666666666
us_technology,EW,QCOM,0.0666666666666666
us_technology,EW,TXN,0.0666666666666666
us_technology,EW,AMAT,0.0666666666666666
us_technology,EW,MU,0.0666666666666666
us_technology,EW,IBM,0.0666666666666666
us_technology,EW,CSCO,0.0666666666666666
us_technology,EW,INTU,0.0666666666666666
us_technology,BLM_LLM__gpt_oss_20b,AAPL,4.755169784005249e-17
us_technology,BLM_LLM__gpt_oss_20b,MSFT,1.908195823574488e-17
us_technology,BLM_LLM__gpt_oss_20b,NVDA,0.1499999999999997
us_technology,BLM_LLM__gpt_oss_20b,AMD,0.15
us_technology,BLM_LLM__gpt_oss_20b,AVGO,0.1499999999999999
us_technology,BLM_LLM__gpt_oss_20b,ORCL,0.15
us_technology,BLM_LLM__gpt_oss_20b,CRM,3.0846467715681085e-18
us_technology,BLM_LLM__gpt_oss_20b,ADBE,7.321113549241869e-17
us_technology,BLM_LLM__gpt_oss_20b,QCOM,0.1000000000000001
us_technology,BLM_LLM__gpt_oss_20b,TXN,0.0
us_technology,BLM_LLM__gpt_oss_20b,AMAT,0.1499999999999999
us_technology,BLM_LLM__gpt_oss_20b,MU,0.1499999999999998
us_technology,BLM_LLM__gpt_oss_20b,IBM,6.593255335047451e-17
us_technology,BLM_LLM__gpt_oss_20b,CSCO,2.4219041043515734e-19
us_technology,BLM_LLM__gpt_oss_20b,INTU,1.3514181951918711e-16
us_technology,RelViewBL__gpt_oss_20b,AAPL,0.0
us_technology,RelViewBL__gpt_oss_20b,MSFT,8.141929818083135e-17
us_technology,RelViewBL__gpt_oss_20b,NVDA,0.1499999999999998
us_technology,RelViewBL__gpt_oss_20b,AMD,0.1499999999999999
us_technology,RelViewBL__gpt_oss_20b,AVGO,9.848899403355167e-17
us_technology,RelViewBL__gpt_oss_20b,ORCL,0.1499999999999999
us_technology,RelViewBL__gpt_oss_20b,CRM,1.4654009063143414e-16
us_technology,RelViewBL__gpt_oss_20b,ADBE,5.4351430794877954e-17
us_technology,RelViewBL__gpt_oss_20b,QCOM,0.0999999999999999
us_technology,RelViewBL__gpt_oss_20b,TXN,0.1499999999999999
us_technology,RelViewBL__gpt_oss_20b,AMAT,0.1499999999999999
us_technology,RelViewBL__gpt_oss_20b,MU,0.15
us_technology,RelViewBL__gpt_oss_20b,IBM,1.609916863033513e-16
us_technology,RelViewBL__gpt_oss_20b,CSCO,0.0
us_technology,RelViewBL__gpt_oss_20b,INTU,0.0
